title,rating
Marvel Studiosâ 2021 Disney+ Day Special,"Error al obtener datos: HTTPSConnectionPool(host='www.rottentomatoes.comhttps', port=443): Max retries exceeded with url: /www.rottentomatoes.com/m/michael_boltons_big_sexy_valentines_day_special (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000016A75BBA960>: Failed to resolve 'www.rottentomatoes.comhttps' ([Errno 11001] getaddrinfo failed)""))"
Obi-Wan Kenobi,"Error al obtener datos: HTTPSConnectionPool(host='www.rottentomatoes.comhttps', port=443): Max retries exceeded with url: /www.rottentomatoes.com/m/obi_wan_kenobi_a_jedis_return (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000016A7506CB00>: Failed to resolve 'www.rottentomatoes.comhttps' ([Errno 11001] getaddrinfo failed)""))"
Olaf Presents,"Error al obtener datos: HTTPSConnectionPool(host='www.rottentomatoes.comhttps', port=443): Max retries exceeded with url: /www.rottentomatoes.com/m/forever_a_terry_mcmillan_presentation (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000016A7506DA30>: Failed to resolve 'www.rottentomatoes.comhttps' ([Errno 11001] getaddrinfo failed)""))"
Paperman,"Error al obtener datos: HTTPSConnectionPool(host='www.rottentomatoes.comhttps', port=443): Max retries exceeded with url: /www.rottentomatoes.com/m/paperman_2012 (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000016A76272E70>: Failed to resolve 'www.rottentomatoes.comhttps' ([Errno 11001] getaddrinfo failed)""))"
Pixar 2021 Disney+ Day Special,"Error al obtener datos: HTTPSConnectionPool(host='www.rottentomatoes.comhttps', port=443): Max retries exceeded with url: /www.rottentomatoes.com/m/michael_boltons_big_sexy_valentines_day_special (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000016A76232F90>: Failed to resolve 'www.rottentomatoes.comhttps' ([Errno 11001] getaddrinfo failed)""))"
Shang-Chi and The Legend of The Ten Rings,"Error al obtener datos: HTTPSConnectionPool(host='www.rottentomatoes.comhttps', port=443): Max retries exceeded with url: /www.rottentomatoes.com/m/shang_chi_and_the_legend_of_the_ten_rings (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000016A7577CEC0>: Failed to resolve 'www.rottentomatoes.comhttps' ([Errno 11001] getaddrinfo failed)""))"
Spin,"Error al obtener datos: HTTPSConnectionPool(host='www.rottentomatoes.comhttps', port=443): Max retries exceeded with url: /www.rottentomatoes.com/m/spin_me_round (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000016A7521EC30>: Failed to resolve 'www.rottentomatoes.comhttps' ([Errno 11001] getaddrinfo failed)""))"
Tangled Ever After,"Error al obtener datos: HTTPSConnectionPool(host='www.rottentomatoes.comhttps', port=443): Max retries exceeded with url: /www.rottentomatoes.com/m/tangled_ever_after (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000016A752A0740>: Failed to resolve 'www.rottentomatoes.comhttps' ([Errno 11001] getaddrinfo failed)""))"
The Ballad of Nessie,"Error al obtener datos: HTTPSConnectionPool(host='www.rottentomatoes.comhttps', port=443): Max retries exceeded with url: /www.rottentomatoes.com/m/the_ballad_of_nessie (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000016A753CBA70>: Failed to resolve 'www.rottentomatoes.comhttps' ([Errno 11001] getaddrinfo failed)""))"
The Little Matchgirl,"Error al obtener datos: HTTPSConnectionPool(host='www.rottentomatoes.comhttps', port=443): Max retries exceeded with url: /www.rottentomatoes.com/m/the_little_matchgirl (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000016A753C9610>: Failed to resolve 'www.rottentomatoes.comhttps' ([Errno 11001] getaddrinfo failed)""))"
The Making of Happier Than Ever: A Love Letter to Los Angeles,"Error al obtener datos: HTTPSConnectionPool(host='www.rottentomatoes.comhttps', port=443): Max retries exceeded with url: /www.rottentomatoes.com/m/happier_than_ever_a_love_letter_to_los_angeles (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000016A7577F4A0>: Failed to resolve 'www.rottentomatoes.comhttps' ([Errno 11001] getaddrinfo failed)""))"
The Proud Family: Louder and Prouder,"Error al obtener datos: HTTPSConnectionPool(host='www.rottentomatoes.comhttps', port=443): Max retries exceeded with url: /www.rottentomatoes.com/m/proud_family_movie (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000016A752A1B20>: Failed to resolve 'www.rottentomatoes.comhttps' ([Errno 11001] getaddrinfo failed)""))"
The Simpsons in Plusaversary,"Error al obtener datos: HTTPSConnectionPool(host='www.rottentomatoes.comhttps', port=443): Max retries exceeded with url: /www.rottentomatoes.com/m/the_simpsons_in_plusaversary (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000016A76373830>: Failed to resolve 'www.rottentomatoes.comhttps' ([Errno 11001] getaddrinfo failed)""))"
Tick Tock Tale,"Error al obtener datos: HTTPSConnectionPool(host='www.rottentomatoes.comhttps', port=443): Max retries exceeded with url: /www.rottentomatoes.com/m/tick_tick_boom (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000016A7532CFE0>: Failed to resolve 'www.rottentomatoes.comhttps' ([Errno 11001] getaddrinfo failed)""))"
Under the Helmet: The Legacy of Boba Fett,"Error al obtener datos: HTTPSConnectionPool(host='www.rottentomatoes.comhttps', port=443): Max retries exceeded with url: /www.rottentomatoes.com/m/under_the_helmet_the_legacy_of_boba_fett (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000016A74F98C20>: Failed to resolve 'www.rottentomatoes.comhttps' ([Errno 11001] getaddrinfo failed)""))"
Willow,"Error al obtener datos: HTTPSConnectionPool(host='www.rottentomatoes.comhttps', port=443): Max retries exceeded with url: /www.rottentomatoes.com/m/willow (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000016A75C65BE0>: Failed to resolve 'www.rottentomatoes.comhttps' ([Errno 11001] getaddrinfo failed)""))"
Alvin and the Chipmunks: Chipwrecked,"Error al obtener datos: HTTPSConnectionPool(host='www.rottentomatoes.comhttps', port=443): Max retries exceeded with url: /www.rottentomatoes.com/m/alvin_and_the_chipmunks_chipwrecked_2011 (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000016A754D80B0>: Failed to resolve 'www.rottentomatoes.comhttps' ([Errno 11001] getaddrinfo failed)""))"
Jingle All The Way,"Error al obtener datos: HTTPSConnectionPool(host='www.rottentomatoes.comhttps', port=443): Max retries exceeded with url: /www.rottentomatoes.com/m/jingle_all_the_way (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000016A75B6FC20>: Failed to resolve 'www.rottentomatoes.comhttps' ([Errno 11001] getaddrinfo failed)""))"
Jingle All the Way 2,"Error al obtener datos: HTTPSConnectionPool(host='www.rottentomatoes.comhttps', port=443): Max retries exceeded with url: /www.rottentomatoes.com/m/jingle_all_the_way_2_2014 (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000016A7547E750>: Failed to resolve 'www.rottentomatoes.comhttps' ([Errno 11001] getaddrinfo failed)""))"
Prep & Landing: Operation Secret Santa,"Error al obtener datos: HTTPSConnectionPool(host='www.rottentomatoes.comhttps', port=443): Max retries exceeded with url: /www.rottentomatoes.com/m/the_prep_room (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000016A74EC6480>: Failed to resolve 'www.rottentomatoes.comhttps' ([Errno 11001] getaddrinfo failed)""))"
Santa Buddies: The Legend of Santa Paws,"Error al obtener datos: HTTPSConnectionPool(host='www.rottentomatoes.comhttps', port=443): Max retries exceeded with url: /www.rottentomatoes.com/m/santa_buddies (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000016A75B6EBA0>: Failed to resolve 'www.rottentomatoes.comhttps' ([Errno 11001] getaddrinfo failed)""))"
Snow Buddies,"Error al obtener datos: HTTPSConnectionPool(host='www.rottentomatoes.comhttps', port=443): Max retries exceeded with url: /www.rottentomatoes.com/m/snow_buddies (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000016A75AA3D10>: Failed to resolve 'www.rottentomatoes.comhttps' ([Errno 11001] getaddrinfo failed)""))"
Space Buddies,"Error al obtener datos: HTTPSConnectionPool(host='www.rottentomatoes.comhttps', port=443): Max retries exceeded with url: /www.rottentomatoes.com/m/space_buddies (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000016A7598D820>: Failed to resolve 'www.rottentomatoes.comhttps' ([Errno 11001] getaddrinfo failed)""))"
The Search for Santa Paws,"Error al obtener datos: HTTPSConnectionPool(host='www.rottentomatoes.comhttps', port=443): Max retries exceeded with url: /www.rottentomatoes.com/m/search_for_santa_paws (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000016A7605AF60>: Failed to resolve 'www.rottentomatoes.comhttps' ([Errno 11001] getaddrinfo failed)""))"
X-Men: First Class,"Error al obtener datos: HTTPSConnectionPool(host='www.rottentomatoes.comhttps', port=443): Max retries exceeded with url: /www.rottentomatoes.com/m/x_men_first_class (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000016A74F3EBA0>: Failed to resolve 'www.rottentomatoes.comhttps' ([Errno 11001] getaddrinfo failed)""))"
Disney Amphibia,"Error al obtener datos: HTTPSConnectionPool(host='www.rottentomatoes.comhttps', port=443): Max retries exceeded with url: /www.rottentomatoes.com/m/disneys_snow_white (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000016A75014B00>: Failed to resolve 'www.rottentomatoes.comhttps' ([Errno 11001] getaddrinfo failed)""))"
Photo Ark,"Error al obtener datos: HTTPSConnectionPool(host='www.rottentomatoes.comhttps', port=443): Max retries exceeded with url: /www.rottentomatoes.com/m/photo_ark (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000016A7644F920>: Failed to resolve 'www.rottentomatoes.comhttps' ([Errno 11001] getaddrinfo failed)""))"
